,id,text,number_of_retweets,number_of_favorites,date,language
121,1508622062348382213,"@biakkkjkx ""a felicidade é oq me deixa feliz"" tá prr poesia irmão",0,0,2022-03-29 01:48:23+00:00,
122,1508622061358370819,@marcoss1899 feliz cumple carmos querido,0,0,2022-03-29 01:48:22+00:00,
123,1508622061274599435,"yo? feliz , porque? pq voy a escuchar bajo el agua en vivo",0,0,2022-03-29 01:48:22+00:00,
124,1508622058468438018,@feliz_okinawa 一応出るつもりで予定空けてあるよ！,0,0,2022-03-29 01:48:22+00:00,
125,1508622053557084164,"beto disse q eu pareço o igor gomes, n sei se fico feliz ou choro KKKKKKKKKK, mentira ele jogou mt ontem",0,0,2022-03-29 01:48:21+00:00,
126,1508622053162856448,@gibalas_ Feliz aniversário pro cachorrinho fofo ❤️💚,0,0,2022-03-29 01:48:20+00:00,
127,1508622052890058759,@Rvidesnasser @floorb93 Te amooo amiga mía🤍 soy feliz de tenerlassss,0,0,2022-03-29 01:48:20+00:00,
128,1508622052361748485,"@EUPH0RI4NA @BTS_twt sooo cute, feliz cumpleaños 🎂",0,0,2022-03-29 01:48:20+00:00,
129,1508622046451929093,"Ufaaaa, mto feliz que voltei com o físico de 2 anos atrás pro fut 🙏🏻🙏🏻",0,0,2022-03-29 01:48:19+00:00,
130,1508622044589703168,"BASTA BASTAA estoy muy feliz por los 10 millones de @DanielaRodrice, me puse a llorar con sus historias",0,0,2022-03-29 01:48:18+00:00,
131,1508622044224761862,Sea feliz sin hacer tanta bulla que publicar pullas pa llamar la atención de otra vida; solo significa que usted no… https://t.co/6nQIoADUiU,0,0,2022-03-29 01:48:18+00:00,
132,1508622042949689348,"Viu, vc conseguiu sem mim  fico feliz por isso 🙂",0,0,2022-03-29 01:48:18+00:00,
133,1508622039946567684,de la nada me llego un msj de charly alberti y me quede re ??????? hasta que me acorde que ayer le mande un feliz c… https://t.co/f47HHuvWOm,0,0,2022-03-29 01:48:17+00:00,
134,1508622037614428161,Seria mas feliz con un septum,0,0,2022-03-29 01:48:17+00:00,
135,1508622037094481920,"véi, eu amo demais meu pai e sou muuuuito feliz de ter ele como amigo(digo na questão de realmente SABER que posso contar com ele pra tudo).",0,0,2022-03-29 01:48:17+00:00,
136,1508622062977536003,"Espero seas muy feliz en esta etapa de tu vida,aunque no seamos amigas te quiero y te deseo lo mejor ❤️",0,0,2022-03-29 01:48:23+00:00,
